episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
2144.0,0.4578124999999999,,full,,,seed,44.0
2160.0,0.4693877551020408,,full,,,seed,44.0
2176.0,0.47265625,,full,,,seed,44.0
2192.0,0.4343749999999999,,full,,,seed,44.0
2208.0,0.4272959183673469,,full,,,seed,44.0
2224.0,0.490234375,,full,,,seed,44.0
2240.0,0.471875,,full,,,seed,44.0
2256.0,0.4706632653061224,,full,,,seed,44.0
2272.0,0.568359375,,full,,,seed,44.0
2288.0,0.475,,full,,,seed,44.0
2304.0,0.3584183673469387,,full,,,seed,44.0
2320.0,0.521484375,,full,,,seed,44.0
2336.0,0.5203125000000001,,full,,,seed,44.0
2352.0,0.5012755102040816,,full,,,seed,44.0
2368.0,0.44140625,,full,,,seed,44.0
2384.0,0.378125,,full,,,seed,44.0
2400.0,0.4885204081632653,,full,,,seed,44.0
2416.0,0.458984375,,full,,,seed,44.0
2432.0,0.45,,full,,,seed,44.0
2448.0,0.4413265306122449,,full,,,seed,44.0
2464.0,0.447265625,,full,,,seed,44.0
2480.0,0.4828125,,full,,,seed,44.0
2496.0,0.4579081632653061,,full,,,seed,44.0
2500.0,0.421875,,full,,,seed,44.0
2516.0,0.3828125,,full,,,seed,44.0
2532.0,0.3903061224489796,,full,,,seed,44.0
2548.0,0.384765625,,full,,,seed,44.0
2564.0,0.5078125,,full,,,seed,44.0
2580.0,0.4808673469387755,,full,,,seed,44.0
2596.0,0.482421875,,full,,,seed,44.0
2612.0,0.41875,,full,,,seed,44.0
2628.0,0.4528061224489795,,full,,,seed,44.0
2644.0,0.4609375,,full,,,seed,44.0
2660.0,0.4703125,,full,,,seed,44.0
2676.0,0.4451530612244898,,full,,,seed,44.0
2692.0,0.447265625,,full,,,seed,44.0
2708.0,0.4828125,,full,,,seed,44.0
2724.0,0.4987244897959184,,full,,,seed,44.0
2740.0,0.55078125,,full,,,seed,44.0
2756.0,0.54375,,full,,,seed,44.0
2772.0,0.4515306122448979,,full,,,seed,44.0
2788.0,0.494140625,,full,,,seed,44.0
2804.0,0.471875,,full,,,seed,44.0
2820.0,0.4885204081632652,,full,,,seed,44.0
2836.0,0.44921875,,full,,,seed,44.0
2852.0,0.5734375,,full,,,seed,44.0
2868.0,0.5216836734693877,,full,,,seed,44.0
2884.0,0.40234375,,full,,,seed,44.0
2900.0,0.4625,,full,,,seed,44.0
2916.0,0.4502551020408163,,full,,,seed,44.0
2932.0,0.435546875,,full,,,seed,44.0
2948.0,0.4390624999999999,,full,,,seed,44.0
2964.0,0.4221938775510204,,full,,,seed,44.0
2980.0,0.474609375,,full,,,seed,44.0
2996.0,0.478125,,full,,,seed,44.0
3000.0,0.3418367346938775,,full,,,seed,44.0
16.0,0.21484375,,full,,,seed,45.0
32.0,0.203125,,full,,,seed,45.0
48.0,0.2193877551020408,,full,,,seed,45.0
